Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,Date,model_smart_dumb_spread_close,model_percent_bearish_close
0.016,-0.178,-0.026,0.016,4.0,4.0,11.0,0.865,1.652,1.099,1.162,1.1,1.83,-3.122,60.779,2005-11-04,0.14,0.23
0.219,0.136,0.234,0.219,0.0,7.0,11.0,1.053,1.843,1.052,1.324,1.29,3.188,-1.86,67.174,2005-11-07,0.09,0.13
-0.345,-0.112,-0.099,-0.345,1.0,8.0,11.0,0.7,1.482,0.567,0.943,0.929,3.879,-0.712,59.786,2005-11-08,0.05,0.16
0.169,0.309,0.037,0.169,2.0,9.0,11.0,0.847,1.629,0.588,1.067,1.075,4.54,0.338,71.266,2005-11-09,0.03,0.16
0.845,0.474,-0.122,0.845,3.0,10.0,11.0,1.66,2.43,1.137,1.821,1.866,5.829,1.436,73.506,2005-11-10,0.0,0.35
0.305,0.267,1.29,0.305,4.0,11.0,11.0,1.939,2.702,1.15,2.037,2.122,7.073,2.564,68.951,2005-11-11,-0.07,0.45
-0.078,0.121,0.086,-0.078,0.0,14.0,11.0,1.837,2.605,0.859,1.884,2.005,7.89,3.629,70.37,2005-11-14,-0.09,0.26
-0.385,0.06,-0.436,-0.385,1.0,15.0,11.0,1.464,2.212,0.38,1.446,1.594,8.061,4.515,70.687,2005-11-15,-0.09,0.23
0.179,-0.46,0.063,0.179,2.0,16.0,11.0,1.649,2.372,0.447,1.558,1.735,8.279,5.268,82.422,2005-11-16,-0.06,0.19
0.941,0.87,0.328,0.941,3.0,17.0,11.0,2.548,3.261,1.1,2.379,2.599,9.28,6.07,80.509,2005-11-17,-0.09,0.35
0.44,0.533,0.772,0.44,4.0,18.0,11.0,2.964,3.667,1.227,2.697,2.966,10.394,6.935,79.632,2005-11-18,-0.16,0.26
0.527,0.505,0.499,0.527,0.0,21.0,11.0,3.45,4.151,1.396,3.081,3.406,11.674,7.883,86.199,2005-11-21,-0.24,0.39
