Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,timestamp,model_smart_dumb_spread_close,model_percent_bearish_close
0.149,0.489,1.92,2.455,0.0,9.0,2.0,0.028,-28.805,2.222,-0.774,-8.584,-6.238,-10.601,66.167,2009-02-09,-0.16,0.25
-4.912,-0.795,-4.487,-0.713,1.0,10.0,2.0,-4.99,-35.114,-2.263,-5.745,-13.912,-7.591,-9.999,46.852,2009-02-10,-0.12,0.14
0.795,-3.436,-0.084,-3.32,2.0,11.0,2.0,-4.012,-33.71,-1.165,-4.718,-12.755,-8.039,-9.607,51.548,2009-02-11,-0.08,0.11
0.174,-0.327,-1.732,-1.757,3.0,12.0,2.0,-3.876,-33.145,-0.791,-4.359,-12.311,-8.183,-9.322,50.816,2009-02-12,-0.05,0.11
-1.0,0.473,2.122,1.732,4.0,13.0,2.0,-4.872,-34.152,-1.447,-5.2,-13.179,-8.869,-9.232,47.595,2009-02-13,-0.06,0.14
-4.556,-2.48,-4.367,-3.577,1.0,17.0,2.0,-9.672,-40.163,-5.032,-9.821,-18.213,-12.31,-9.847,37.752,2009-02-17,0.0,0.09
-0.095,-2.741,-1.107,-1.156,2.0,18.0,2.0,-9.632,-39.899,-4.105,-9.536,-17.963,-14.926,-10.863,28.919,2009-02-18,0.06,0.07
-1.202,0.177,-0.436,0.171,3.0,19.0,2.0,-10.717,-41.199,-4.298,-10.443,-19.015,-17.561,-12.202,31.983,2009-02-19,0.1,0.04
-1.141,-2.368,-2.932,-3.394,4.0,20.0,2.0,-11.632,-42.408,-4.402,-11.259,-19.985,-20.135,-13.789,33.897,2009-02-20,0.12,0.02
-3.47,-0.108,-1.575,1.213,0.0,23.0,2.0,-15.254,-47.09,-6.524,-14.66,-23.817,-24.053,-15.842,29.434,2009-02-23,0.15,0.02
4.01,-0.303,0.313,-3.988,1.0,24.0,2.0,-10.484,-41.015,-1.933,-9.837,-18.666,-24.471,-17.568,34.894,2009-02-24,0.14,0.09
-1.066,0.597,1.101,2.829,2.0,25.0,2.0,-11.39,-42.126,-2.425,-10.588,-19.549,-25.177,-19.09,34.581,2009-02-25,0.12,0.11
-1.578,-0.09,-0.151,0.99,3.0,26.0,2.0,-12.839,-43.973,-3.254,-11.876,-21.041,-26.406,-20.553,28.545,2009-02-26,0.1,0.04
-2.356,-3.612,-2.292,-5.057,4.0,27.0,2.0,-15.199,-46.993,-4.596,-14.005,-23.487,-28.483,-22.139,18.478,2009-02-27,0.15,0.02
-4.662,-2.888,-4.741,-2.212,0.0,2.0,3.0,-20.226,-53.676,-7.769,-18.812,-28.941,-32.52,-24.215,15.461,2009-03-02,0.19,0.0
